driverId,week,hours-logged,miles-logged
314,33,52,3800
311,11,78,3200
285,34,72,1300
688,24,72,0
218,14,70,2200
375,12,65,300
294,47,54,2400
244,47,68,1200
92,48,73,200
583,41,58,2900
607,38,55,700
41,23,62,2100
192,45,58,2200
447,7,75,300
361,25,54,3800
393,24,80,2800
943,13,54,600
685,11,78,2900
892,20,62,3800
731,46,80,2600
246,8,51,1400
206,8,59,600
956,36,75,200
662,49,73,2000
817,44,69,2200
12,1,64,700
11,3,72,2700
219,50,71,1100
547,9,73,2000
255,35,57,1200
24,16,71,1700
693,2,79,4000
316,24,56,700
342,25,52,3800
552,33,71,1000
858,5,60,800
385,50,72,300
525,20,65,700
414,48,59,1200
638,34,80,1600
996,8,57,2100
408,47,61,2500
186,52,75,1200
230,19,69,3100
391,28,55,1200
488,33,67,1800
533,31,53,2000
745,11,50,3100
621,16,56,3900
364,49,68,2700
448,23,66,3200
967,26,50,0
541,11,69,700
79,9,56,2800
185,42,60,2400
387,48,59,1400
754,11,69,1900
528,28,73,500
920,16,72,3900
58,32,60,3400
227,43,70,2400
69,2,57,3300
517,17,76,1900
36,22,76,3300
758,47,60,1600
818,27,80,3000
17,44,70,2500
113,8,63,2500
193,5,74,1700
783,21,61,900
89,5,54,1400
936,25,51,2000
877,15,64,2400
227,25,75,2800
433,38,60,1600
312,33,71,3100
354,36,73,1000
554,27,50,2200
952,40,58,900
999,47,56,1900
451,21,56,1600
984,28,58,3700
115,19,80,3000
1000,13,71,1900
913,25,75,2500
632,6,70,2600
664,22,70,3100
489,27,76,1200
346,35,56,2800
661,43,76,3500
823,14,70,100
223,15,79,2300
59,41,69,2100
333,4,64,4000
50,11,68,2900
866,21,54,4000
499,9,64,3300
797,2,75,900
475,50,75,1300
309,31,57,3100
612,31,54,1300
686,28,80,2300
981,19,63,3400
801,33,55,3800
475,25,57,2300
300,24,77,3800
234,17,54,3800
321,13,52,3600
779,45,62,400
199,39,80,1100
619,39,77,3600
696,31,68,3100
513,26,76,1900
498,7,58,3500
240,10,75,300
180,42,54,1300
299,36,58,3800
753,46,51,3200
717,33,70,200
350,3,52,3100
81,20,53,3600
776,43,55,3400
729,34,62,2600
442,44,71,1700
1004,49,63,3100
362,42,64,2200
720,47,66,2300
1007,12,50,2500
692,46,66,2800
173,16,60,3600
507,16,64,500
620,49,65,300
853,29,71,1900
980,1,79,1700
235,7,71,2300
529,32,74,1700
845,23,75,200
660,43,60,2100
497,41,65,2700
52,44,60,1000
543,38,57,3000
928,9,77,2300
790,1,74,1200
632,34,67,3900
771,4,55,3300
620,7,51,3700
235,9,50,3300
79,10,66,3800
684,17,62,700
456,30,58,600
920,1,51,1200
894,50,69,800
617,2,69,1800
751,48,64,2700
563,14,78,2900
714,43,76,400
505,30,79,3100
178,1,58,3700
257,40,79,1300
514,37,75,2600
523,45,54,1500
787,49,69,1100
401,3,54,2800
402,52,54,0
416,10,57,3600
452,21,64,2600
220,20,67,0
570,5,68,1500
496,52,58,1400
899,49,73,800
430,41,51,2700
719,3,57,2100
609,35,75,1500
720,36,66,400
724,19,65,3300
782,41,57,800
667,10,71,2300
805,22,70,2300
401,50,55,3900
361,18,64,2500
117,42,76,1100
256,9,59,2900
941,35,50,0
770,19,57,3300
801,43,53,2400
987,14,50,2900
791,41,54,2100
924,18,77,1200
827,22,59,1400
556,14,52,3900
254,2,65,200
954,24,70,1000
906,38,53,1200
441,26,51,2200
810,1,53,1800
475,36,57,3400
753,5,66,2900
483,49,69,2300
905,31,65,4000
238,42,79,600
260,8,65,1700
899,41,68,3800
601,7,65,800
311,14,78,1800
531,12,52,3900
481,43,73,2100
869,45,66,1000
41,40,74,200
13,38,73,2300
557,24,50,2400
867,25,60,1000
665,45,78,900
396,50,57,3100
721,22,69,2900
464,26,68,100
951,26,60,2300
305,23,72,2300
790,52,64,1500
533,41,53,2200
83,52,60,1000
235,7,62,3000
759,22,75,1000
122,19,60,2000
100,36,54,1700
287,44,59,1100
888,20,68,0
978,49,66,1900
454,48,51,2500
783,10,70,2900
152,18,52,900
716,39,71,3300
814,49,51,1100
633,17,65,1300
506,2,62,3800
401,45,60,3000
